MenuID;OptionID;Locale;OptionText;BoxText
0;0;ruRU;GOSSIP_OPTION_QUESTGIVER;
0;1;ruRU;Я хочу просмотреть ваши товары;
0;2;ruRU;Я хочу путешествовать быстро;
0;3;ruRU;Обучите меня!;
0;4;ruRU;Верни меня к жизни;
0;5;ruRU;Верни меня к жизни;
0;6;ruRU;Сделай эту гостиницу моим домом;
0;7;ruRU;Покажи мне мой банк;
0;8;ruRU;Как создать гильдию?;
0;9;ruRU;Я хочу создать герб гильдии;
0;10;ruRU;Я хочу присоединиться к Battle Ground;
0;11;ruRU;Аукцион!;
0;12;ruRU;Я хотел бы оставить здесь своего питомца;
0;13;ruRU;Я хочу просмотреть ваши товары;
0;14;ruRU;Я хочу разучить свои таланты;
0;15;ruRU;Я хочу разучить навыки моего питомца;
0;16;ruRU;Приобретите специализацию с двумя талантами;Вы уверены, что хотите приобрести специализацию с двумя талантами?
0;17;ruRU;GOSSIP_OPTION_OUTDOORPVP;
21;0;ruRU;Чем я могу помочь?;
21;1;ruRU;Можете ли вы рассказать мне об этом осколке?;
24;0;ruRU;Расскажи мне историю, Скорн.;
63;0;ruRU;Меня интересует обучение магов.;
63;1;ruRU;Я хочу разучить свои таланты.;
63;2;ruRU;Узнайте о двойной специализации талантов.;
64;0;ruRU;Меня интересует обучение магов.;
64;1;ruRU;Я хочу разучить свои таланты.;
64;2;ruRU;Узнайте о двойной специализации талантов.;
83;0;ruRU;Верни меня к жизни.;
85;0;ruRU;Я хотел бы тренироваться.;
85;1;ruRU;Я хочу разучить свои таланты.;
85;2;ruRU;Я хочу знать о двойной специализации талантов.;
85;4;ruRU;<Возьми письмо>;
125;0;ruRU;У тебя есть кое-что, что мне нужно, Астор. И я возьму его сейчас.;
126;0;ruRU;Ты Астор Хадрен, верно?;
141;0;ruRU;Я хотел бы обучение.;
141;1;ruRU;Я хочу разучить свои таланты.;
141;2;ruRU;Я хочу знать о двойной специализации талантов.;
141;4;ruRU;<Возьми письмо>;
161;0;ruRU;Мне нужен еще один набор воровских инструментов.;
201;0;ruRU;Пусть событие начнется!;
231;0;ruRU;Скажи мне фразу к сейфу Тирта.;
262;0;ruRU;Где ключ от этого замка?;
264;1;ruRU;Где ключ от этого замка?;
268;0;ruRU;Какое сообщение?;
321;0;ruRU;Пожалуйста, перенесите меня в Дарнас.;
341;0;ruRU;Сделайте эту гостиницу своим домом.;
342;0;ruRU;Кошелек или жизнь!;
342;2;ruRU;Сделайте эту гостиницу своим домом.;
