"ID","Text0_0","Text0_1","Text1_0","Text1_1","Text2_0","Text2_1","Text3_0","Text3_1","Text4_0","Text4_1","Text5_0","Text5_1","Text6_0","Text6_1","Text7_0","Text7_1","Locale"
"68","Приветствую $N","Приветствую $N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"518","Хорошо, когда ты сам себе хозяин!$B$BСлушай, подкинь пару медяков на чебурек, а? Я умираю с голода.","","","","","","","","","","","","","","","","ruRU"
"519","Я был главным в Хитрой Шестеренке на проекте по разработке крошшеров, но месяц назад я ушел на вольные хлеба. Теперь я попал в черные списки всех поставщиков. Но хуже всего то, что в своих исследованиях я почти никуда не продвинулся. Не поможешь мне, $n?","","","","","","","","","","","","","","","","ruRU"
"520","Я прикинул, что если ""позаимствовать"" некоторые технологии Торговой Компании, то я смогу расширить свои исследования. Понимаешь, их новый крошшер – лучший в своем роде, во всем, от заменяемых рук до управляемых клешней!$b$bМой деловой партнер Зигзаг отправился на запад, на Нефтяное болото, проводить некоторые ""полевые исследования"". Но до сих пор не вернулся.","","","","","","","","","","","","","","","","ruRU"
"521","Ты $gубил:убила; Призрачный Вой. Ну ты даешь!",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"522","Подойди поближе, $gюноша:девушка;. Некогда я слышал стук сердца добычи, а теперь тебе придется говорить погромче, если хочешь, чтоб я тебя расслышал.","","","","","","","","","","","","","","","","ruRU"
"523","Много-много лет я проходил по этим равнинам и охотился тут на крупного зверя. Никто никогда не мог противостоять мне… пока я не повстречался с Призрачным Воем.$B$BДавным-давно огромный волк был союзником тауренов и храбро сражался с Пылающим Легионом. Но его жестоко ранил демон, и рана так никогда и не зажила. В конце концов… Призрачный Вой обезумел.$B$BТеперь он носится по равнинам, терзаемый болью, ища способ положить ей конец. К стыду своему должен сказать: когда мы сразились, я не сумел убить его…","","","","","","","","","","","","","","","","ruRU"
"538","Здравствуй, маг. Тебе нужны новые знания о чудесном мире магии?","Здравствуй, маг. Тебе нужны новые знания о чудесном мире магии?","","","","","","","","","","","","","","","ruRU"
"539","Здравствуй, |3-6($c). Вот что я тебе посоветую: будь $gосторожен:осторожна; с магией. Она может легко погубить новичка.","Здравствуй, |3-6($c). Вот что я тебе посоветую: будь $gосторожен:осторожна; с магией. Она может легко погубить новичка.","","","","","","","","","","","","","","","ruRU"
"558","Приветствую. Я наставник магов, а ты маг.","Приветствую. Я наставник магов, а ты маг.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"559","","Здравствуй, |3-6($c). Вот что я тебе посоветую: будь $gосторожен:осторожна; с магией. Она может легко погубить новичка.","","","","","","","","","","","","","","","ruRU"
"560","Приветствую. Я гном, наставник магов. Ну а вы – маг.","Приветствую. Я гном, наставница магов. Ну а вы – маг.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"561","Здравствуйте, |3-6($c). Хотите совет? Подружитесь с магами! У нас много чего интересного в рукаве припрятано.","Здравствуйте, |3-6($c). Хотите совет? Подружитесь с магами! У нас много чего интересного в рукаве припрятано.","","","","","","","","","","","","","","","ruRU"
"562","Приветствую. Я обучаю магов из нежити, а вы, стало быть, занимаетесь магией?","Приветствую. Я обучаю магов из нежити, а вы, стало быть, занимаетесь магией?","","","","","","","","","","","","","","","ruRU"
"563","Здравствуй, |3-6($c). Вот что я тебе посоветую: будь $gосторожен:осторожна; с магией. Она может легко погубить новичка.","Здравствуй, |3-6($c). Вот что я тебе посоветую: будь $gосторожен:осторожна; с магией. Она может легко погубить новичка.","","","","","","","","","","","","","","","ruRU"
"564","Приветствую, |3-6($c). Ты желаешь обрести тайное знание?","Приветствую, |3-6($c). Ты желаешь обрести тайное знание?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"565","Приветствую, |3-6($c). Мне жаль тебя, секреты настоящей магии выше твоего понимания…","Приветствую, |3-6($c). Мне жаль тебя, секреты настоящей магии выше твоего понимания…","","","","","","","","","","","","","","","ruRU"
"580","","Твое время еще не пришло. Я помогу тебе вернуться в мир живых – но не даром.","","","","","","","","","","","","","","","ruRU"
"581","С одобрения леди Сильваны ряды стражей смерти растут. Все больше клинков готовы ударить по нашим врагам, когда они будут меньше всего ожидать этого.","С одобрения леди Сильваны ряды стражей смерти растут. Все больше клинков готовы ударить по нашим врагам, когда они будут меньше всего ожидать этого.","","","","","","","","","","","","","","","ruRU"
"623","Что вы хотите, |3-6($c)? Я уже опаздываю, а мой хозяин этого ох как не любит.","","","","","","","","","","","","","","","","ruRU"
"638","Изувеченная Длань увидит Орду во всей былой славе, когда ее перестанет сдерживать робость Вождя.","Изувеченная Длань увидит Орду во всей былой славе, когда ее перестанет сдерживать робость Вождя.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"678","Зачем это $gтакой молодой:такая молодая:c; |3-6($c) $gпришел:пришла:c; к старому фермеру?","","","","","","","","","","","","","","","","ruRU"
"698","Наралекс вновь спит!$b$bДавным-давно Наралекс отправился в эту пещеру с благородной целью: войти в Изумрудный Сон и превратить Степи в пышный лес. Его сосредоточенность была нарушена, и демонические видения опутали его разум.$b$bТеперь чудовища из его сна пробиваются в мир. Необходимо пробудить его от кошмаров, иначе он навеки затеряется в них, а великое зло вырвется из его сновидений на свободу.$b$bНо начать ритуал пробуждения я смогу не раньше, чем будут уничтожены его приспешники – повелители Змей.","","","","","","","","","","","","","","","","ruRU"
"699","Повелители змей мертвы! Ты отлично $gсправился:справилась;, $N! $B$BНо ритуал пробуждения слишком сложен. В одиночку мне его не провести. $B$BЯ справлюсь со всеми приготовлениями, но мне нужна твоя защита. Кошмарные существа, вызванные Наралексом, погруженным в Изумрудный Сон, оказались очень грозными. Без твоей помощи наше дело обречено. $B$BСкажи, когда будешь $gготов:готова; защищать меня, и мы отправимся в обитель Наралекса.","","","","","","","","","","","","","","","","ruRU"
"718","Машина разворачивается в вашу сторону.$B$BСзади у нее странная прорезь с надписью: ""Собственность Гелхака Гиромачта"".",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"720","Эй! Это ты выполняешь поручения Тирта? Я бы на твоем месте убрался от него как можно скорее. Мозги он загубил выпивкой, но магия его сильна как прежде!",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"738","Конечно, я постараюсь сказать вам эту фразу. Буду рассказывать до тех пор, пока Тирт меня куда-нибудь не позовет.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"758","Ключ Гелхака входит в свободную скважину.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"759","Вздумали насмехаться надо мной, пока я прикован к этому железному шару и не могу защищаться?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"760","Ключ от этой адской машины хранится у одного человека. Кажется, его зовут Эстон.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"761","Делай-ка ноги, |3-6($c), а то они и тебя закуют в цепи.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"762","Марглен… Один из тюремщиков. У него ключ от моих оков.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"764","Банк Штормграда находится в Торговом квартале, к северо-западу от городских ворот. Вот, позвольте мне показать на карте.","Банк Штормграда находится в Торговом квартале, к северо-западу от городских ворот. Вот, позвольте мне показать на карте.","Счетная палата Штормграда расположена у передних ворот, в Торговом квартале Штормграда. И, когда устанешь считать деньги, обязательно остановись выпить в ""Позолоченной розе"".","Счетная палата Штормграда расположена у передних ворот, в Торговом квартале Штормграда. И, когда устанешь считать деньги, обязательно остановись выпить в ""Позолоченной розе"".","","","","","","","","","","","","","ruRU"
"766","Я хотел бы чтобы весь снег растаял. Из-за него моя одежда вечно мокрая и всюду грязь!","","","","","","","","","","","","","","","","ruRU"
"767","Дурацкий снег… Эй, ты – $N? Я только что получил сообщение насчет тебя.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"768","Вас призывает Лаго Злобноверт, главный чернокнижник Стальгорна. Рекомендую вам немедленно отправиться к нему. Вы найдете его в Заброшенном гроте.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"769","Приветствую тебя, |3-6($r). Я – Тарнариун Исцелитель Деревьев.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"778","Что касается меня, я считаю гоблинов фаворитами. У нас есть и оборудование, и талант!","Что касается меня, я считаю гоблинов фаворитами. У нас есть и оборудование, и талант!","Если бы не это треклятое гномское везение, они бы ни одной гонки не выиграли!","Если бы не это треклятое гномское везение, они бы ни одной гонки не выиграли!","Я бы на твоем месте поставил на гоблинов. Болеть за любую другую команду – пустая трата времени.","Я бы на твоем месте поставила на гоблинов. Болеть за любую другую команду – пустая трата времени.","Мои деньги у гоблинов! И если ты хоть что-нибудь соображаешь, то и твои должны быть там же!","Мои деньги у гоблинов! И если ты хоть что-нибудь соображаешь, то и твои должны быть там же!","Говорят, они собираются взорвать машину гномов в следующей гонке! Правда это или нет, но я буду держаться подальше от их боксов.","Говорят, они собираются взорвать машину гномов в следующей гонке! Правда это или нет, но я буду держаться подальше от их боксов.",NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
"779","А, вы имеете в виду Джонсона? Говорят, он сейчас в бегах.","А, вы имеете в виду Джонсона? Говорят, он сейчас в бегах.","Ха! Тирт уже который день его ищешь, но он все прячется, трус!","Ха! Тирт уже который день его ищешь, но он все прячется, трус!","Ищешь ""Отчаянного""? Ладно, я тебе этого не говорил, но… расспроси Лихоезда в башне, он тебе расскажет…","Ищешь ""Отчаянного""? Ладно, я тебе этого не говорил, но… расспроси Лихоезда в башне, он тебе расскажет…",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ruRU"
