"ID";"content_default";"content_loc8"
"1";"You should select a character or a creature.";"Вы должны выбрать персонажа или существо."
"2";"You should select a creature.";"Вы должны выбрать существо."
"3";"[SERVER] %s";"[СЕРВЕР] %s"
"4";"|cffff0000[Event Message]: %s|r";"|cffff0000[Сообщение о событии]: %s|r"
"5";"There is no help for that command";"Нет помощи для этой команды"
"6";"Command '%.*s' does not exist";"Команда ""%.*s""не существует"
"7";"Subcommand '%.*s%c%.*s' is ambiguous:";"Подкоманда '%.*s%c%.*s' неоднозначна: "
"8";"Possible subcommands:";"Возможные подкоманды: "
"9";"Commands available to you:";"Доступные вам команды: "
"10";"Incorrect syntax.";"Неправильный синтаксис."
"11";"Your account level is: %i";"Уровень вашей учетной записи: %i"
"12";"Active connections: %u (max: %u) Queued connections: %u (max: %u)";"Активные соединения: %u (макс.: %u) Соединения в очереди: %u (макс.: %u)"
"13";"Server uptime: %s";"Время работы сервера: %s"
"14";"Player saved.";"Игрок сохранен."
"15";"All players saved.";"Все игроки сохранены."
"16";"The following GMs are active on this server:";"На этом сервере активны следующие ГМ:"
"17";"There are no GMs currently logged in on this server.";"В настоящее время на этом сервере нет зарегистрированных GM."
"18";"Cannot do that while flying.";"Во время полета этого сделать нельзя."
"19";"Update time diff: %u.";"Разница во времени обновления: %u."
"20";"Time left until shutdown/restart: %s";"Оставшееся время до выключения/перезапуска: %s"
"21";"%s's flying command failed.";"Команда полета %s не удалась."
"22";"You are not mounted so you can't dismount.";"Вы не в седле, поэтому не можете спешиться."
"23";"Cannot do that while fighting.";"Во время боя этого делать нельзя."
"24";"You used it recently.";"Вы использовали его недавно."
"25";"Password not changed (unknown error)!";"Пароль не изменен (неизвестная ошибка)!"
"26";"The password was changed";"Пароль был изменен"
"27";"The old password is wrong";"Старый пароль неверный"
"28";"Your account is now locked.";"Теперь ваша учетная запись заблокирована."
"29";"Your account is now unlocked.";"Теперь ваша учетная запись разблокирована."
"30";", rank ";", классифицировать"
"31";"[known]";"[известен]"
"32";"[learn]";"[учиться]"
"33";"[passive]";"[пассивный]"
"34";"[talent]";"[талант]"
"35";"[active]";"[активный]"
"36";"[complete]";"[полный]"
"37";"(offline)";"(не в сети)"
"38";"on";"на"
"39";"off";"выключенный"
"40";"You are: %s";"Вы: %s"
"41";"visible";"видимый"
"42";"invisible";"невидимый"
"43";"done";"Выполнено"
"44";"You";"Ты"
"45";"<unknown> ";"<неизвестно>"
"46";"<error>";"<ошибка>"
"47";"<non-existing character>";"<несуществующий персонаж>"
"48";"(online)";"(онлайн)"
"49";"You must be at least level %u to enter.";"Для входа вы должны быть не ниже %u уровня."
