"id","locale","achievment","achievment_condition","title","VerifiedBuild"
6,"ruRU","10-й уровень","Достигните 10-го уровня.",,-1
33,"ruRU","Борьба в Борейщине","Выполните 130 заданий в Борейской тундре.",,-1
42,"ruRU","Восточные королевства","Исследуйте все местности Восточных королевств.",,-1
57,"ruRU","Смерти в Альтеракской долине","Смерти в Альтеракской долине",,-1
60,"ruRU","Всего смертей","Всего смертей",,-1
98,"ruRU","Выполнено заданий","Выполнено заданий",,-1
107,"ruRU","Убито существ","Убито существ",,-1
112,"ruRU","Смерти от утопления","Смерти от утопления",,-1
116,"ruRU","Подмастерье","Станьте подмастерьем в любой профессии.",,-1
121,"ruRU","Повар-подмастерье","Станьте поваром-подмастерьем.",,-1
126,"ruRU","Рыболов-подмастерье","Станьте рыболовом-подмастерьем.",,-1
131,"ruRU","Подмастерье первой помощи","Станьте подмастерьем первой помощи.",,-1
154,"ruRU","Победа в Низине Арати","Выиграйте сражение в Низине Арати.",,-1
166,"ruRU","Победа в Ущелье Песни Войны","Выиграйте сражение в Ущелье Песни Войны.",,-1
193,"ruRU","Самый сильный удар","Самый сильный удар",,-1
208,"ruRU","Победа на Оке Бури","Одержите победу на Оке Бури.",,-1
218,"ruRU","Победа в Альтеракской долине","Выиграйте сражение в Альтеракской долине.",,-1
238,"ruRU","Победа в PvP","Одержите почетную победу в PvP.",,-1
263,"ruRU","Заморозить Повелителя Холода","Убейте Ахуна в Узилище.",,-1
273,"ruRU","К Метцену!","Спасите Метцена-северного оленя.",,-1
319,"ruRU","Одержано побед в дуэлях","Одержано побед в дуэлях",,-1
321,"ruRU","Кол-во смертей в подземельях и рейдах","Кол-во смертей в подземельях и рейдах",,-1
328,"ruRU","Всего получено золота","Всего получено золота",,-1
344,"ruRU","Количество использованных бинтов","Количество использованных бинтов",,-1
349,"ruRU","Совершено полетов","Совершено полетов",,-1
377,"ruRU","Наибольшее количество фракций, которые вас превозносят","Наибольшее количество фракций, которые вас превозносят",,-1
397,"ruRU","Шаг на арену","Одержите победу в рейтинговом бою на арене на 80-м уровне.",,-1
457,"ruRU","1-й на сервере! Персонаж 80-го уровня","Первый персонаж на сервере, достигший 80-го уровня.",,-1
477,"ruRU","Крепость Утгард","Убейте боссов Крепости Утгард.",,-1
489,"ruRU","Крепость Утгард (героич.)","Убейте боссов Крепости Утгард в героическом режиме.",,-1
503,"ruRU","50 заданий","Выполните 50 заданий.",,-1
522,"ruRU","Я кому-то нравлюсь!","Добейтесь того, чтобы вас превозносила какая-либо фракция.",,-1
588,"ruRU","Всего почетных побед в PvP","Всего почетных побед в PvP",,-1
605,"ruRU","Монета наследия","Получите монету наследия.",,-1
625,"ruRU","Победа над родом Черных драконов (25 игроков)","Убейте Сартариона Ониксового Стража в рейде на 25 игроков.",,-1
629,"ruRU","Огненная пропасть","Убейте Тарагамана Ненасытного.",,-1
647,"ruRU","Бастионы Адского Пламени","Убейте Омора Неодолимого.",,-1
728,"ruRU","Дуротар","Исследуйте Дуротар, открыв все его области на карте.",,-1
763,"ruRU","Пламенный Рыцарь","Добейтесь того, чтобы вас превозносили все фракции дополнения The Burning Crusade, отношения с которыми можно улучшить, сражаясь в подземельях.",,-1
776,"ruRU","Элвиннский лес","Исследуйте Элвиннский лес, открыв все его области на карте.",,-1
796,"ruRU","Вы были воскрешены жрецами","Вы были воскрешены жрецами",,-1
837,"ruRU","Одержано побед на арене","Одержано побед на арене",,-1
839,"ruRU","Сыгранные сражения на поле боя","Сыгранные сражения на поле боя",,-1
862,"ruRU","Полуостров Адского Пламени","Исследуйте Полуостров Адского Пламени, открыв все его области на карте.",,-1
913,"ruRU","Почтение к предкам","Добейтесь достижений Лунного фестиваля, указанных ниже.","Наградное звание: Премудрый",-1
927,"ruRU","Количество эпических предметов в снаряжении","Количество эпических предметов в снаряжении",,-1
932,"ruRU","Посещенные подземелья для 5 игроков","Посещенные подземелья для 5 игроков",,-1
939,"ruRU","Холмы как белые элекки","Выполните все задания Хеминга Эрнестуэя в Награнде, включая финальное – ""Опасный спорт"".",,-1
