"ID","locale","CompletionText","VerifiedBuild"
"9406","ruRU","Какие вести ты принесла нам, $N?","0"
"9410","ruRU","Тебе повезло остаться в живых.","0"
"9434","ruRU","Вам с Визло удалось собрать реагенты?","0"
"9436","ruRU","Не подведи меня, $N. Если нам удастся овладеть магией племени Кровавого Скальпа, быть может, мой народ сможет справиться с угрозой, исходящей от племени Амани.","0"
"9438","ruRU","Ты принесла вести из Запределья? Докладывай немедленно!","0"
"9442","ruRU","Ты $gдобыл:добыла гриб, который мне нужен, $N?","0"
"9447","ruRU","С возвращением, $N. Ты $gвыполнил:выполнила мое задание?","0"
"9466","ruRU","Ты слышал про Черноскребку?","0"
"9728","ruRU","Рад видеть тебя снова, $n. Как продвигается охота на наг?","0"
"9766","ruRU","Мы превратим собственную сталь наг в оружие, чтобы использовать против них. Принеси мне все вооружение, которое удалось спасти из резервуара Кривого Клыка.","0"
"9847","ruRU","Удалось ли тебе призвать духа Дикотопи?","0"
"10277","ruRU","Не возвращайтесь, пока не получите хотя бы элементарное представление о том, что происходит.","0"
"10297","ruRU","Вы можете использовать только один маяк за один отрезок времени.","0"
"11606","ruRU","Время на исходе, $C.","0"
"11616","ruRU","Это еще что такое? Мне не до пустяков!","0"
"11625","ruRU","Ты уже $gраздобыл:раздобыла трезубец?","0"
"11643","ruRU","Ну, что, удалось найти мою Т.П.Т.?","0"
"11661","ruRU","Похоже, убийство их лейтенанта только разворошило осиное гнездо. Они стали еще злее и агрессивнее, чем раньше!  <Вальтор вздыхает.>  Что ж, $gдружище:подруга, ты $gсделал:сделала здесь все, что мог. Тебе как минимум полагается компенсация за уменьшение их числа.","0"
"11922","ruRU","Быстрее! Нельзя терять время!","0"
