"ID","locale","RewardText","VerifiedBuild"
"9340","ruRU","Неплохо, $N. Это научит камнедеров держаться от нас подальше.","0"
"9391","ruRU","Глубокий Разлом все еще опасен, но, по крайней мере, там можно пройти.  Если бы Альянс не караулил все известные нам дороги, вряд ли бы мы решили на такое дело.","0"
"9406","ruRU","Ты уверена? Настоящие орки... Здесь, в Адском Пламени! Вот это новости, $N.  Надо немедленно доложить вождю.","0"
"9410","ruRU","Кто ты, незванный гость? Я приказал своим бойцам не трогать тебя только потому, что Рига учуяла рядом с тобой духов.  Говори, не бойся, но выбирай слова. Мы редко доверяем чужакам, особенно в такой близости от Цитадели.","0"
"9434","ruRU","Замечательно, все на месте. Осталось только перемешать и посмотреть, что выйдет. Если этот тоник сработает так, как я предполагаю, то, возможно, я смогу ослабить зависимость от магии у моего народа.  Смотри, $N, на твоих глазах вершится история! Подумать только – без твоей помощи у меня ничего бы не вышло!","0"
"9436","ruRU","Молодец. Вот что любопытно…  Надпись на этом тотеме сделана на языке, незнакомом троллям, зато хорошо известном нам. Она гласит, что носитель сего – союзник элементаля воды по имени Найас и достоин владеть его силой.  Неожиданно, но не так уж плохо, $N. Я бы хотел, чтобы ты помог мне и на следующем этапе.","0"
"9438","ruRU","Вы видите, что напряжение уходит с лица Тралла по мере того, как он читает донесение Назгрела    Мой народ... Мы должны отправиться к ним. Мы должны отпавиться в Награнд как можно скорее!","0"
"9442","ruRU","Горкан говорил хорошие вещи о тебе. Они оказались верны.  Спасибо за помощь.","0"
"9466","ruRU","Ты достойный, $C, $N. Эта тварь унесла жизни многих охотников.  Возьми награду, ты ее заслужил.","0"
"9525","ruRU","Ты скрасил мне день, $c. Когда я умру, я позабочусь о том, чтобы он был на поле битвы ... залит кровью моих противников и уничтожал их вместе со мной.","0"
"9845","ruRU","Мне не терпится поскорее вернуться к рыбалке! Наконец-то я принесу в город полное ведро рыбы! А то Гамбаринка меня уже засмеял.",
"9847","ruRU","<Вы рассказываете провидице Джаниди о том, что произошло, когда вы использовали тотем.>$B$BДух напал на тебя? Должно быть, он теснее связан с этими Заблудшими, чем я думала... Значит, его не удастся заставить служить мне, не применяя значительных усилий... Придется искать другой источник могущества!",
