"entry","slot","item","maxcount","incrtime","ExtendedCost","VerifiedBuild"
"45014","0","42943","0","0",0,"0"
"45014","0","42944","0","0",0,"0"
"45014","0","42945","0","0",0,"0"
"45014","0","42946","0","0",0,"0"
"45014","0","42947","0","0",0,"0"
"45014","0","42948","0","0",0,"0"
"45014","0","42949","0","0",0,"0"
"45014","0","42950","0","0",0,"0"
"45014","0","42951","0","0",0,"0"
"45014","0","42952","0","0",0,"0"
"45014","0","42984","0","0",0,"0"
"45014","0","42985","0","0",0,"0"
"45014","0","42991","0","0",0,"0"
"45014","0","42992","0","0",0,"0"
"45014","0","48677","0","0",0,"0"
"45014","0","48683","0","0",0,"0"
"45014","0","48685","0","0",0,"0"
"45014","0","48687","0","0",0,"0"
"45014","0","48689","0","0",0,"0"
"45014","0","48691","0","0",0,"0"
"45014","0","48716","0","0",0,"0"
"45014","0","48718","0","0",0,"0"
"45014","0","50255","0","0",0,"0"
"45014","0",44105,"0","0",0,"0"
"45014","0",44103,"0","0",0,"0"
"45014","0",44107,"0","0",0,"0"
"45014","0",44091,"0","0",0,"0"
"45014","0",44101,"0","0",0,"0"
"45014","0",44099,"0","0",0,"0"
"45014","0",44096,"0","0",0,"0"
"45014","0",44102,"0","0",0,"0"
"45014","0",44100,"0","0",0,"0"
"45014","0",44094,"0","0",0,"0"
"45014","0",44098,"0","0",0,"0"
"45014","0",44115,"0","0",0,"0"
"45014","0",44095,"0","0",0,"0"
"45014","0",44093,"0","0",0,"0"
"45014","0",44092,"0","0",0,"0"
