"entry","slot","item","maxcount","incrtime","ExtendedCost","VerifiedBuild"
"46079","0","1168","0","0","0","0"
"46079","0","2244","0","0","0","0"
"46079","0","6953","0","0","0","0"
"46079","0","9359","0","0","0","0"
"46079","0","11805","0","0","0","0"
"46079","0","11902","0","0","0","0"
"46079","0","13014","0","0","0","0"
"46079","0","13044","0","0","0","0"
"46079","0","13052","0","0","0","0"
"46079","0","13053","0","0","0","0"
"46079","0","13340","0","0","0","0"
"46079","0","13369","0","0","0","0"
"46079","0","13982","0","0","0","0"
"46079","0","14002","0","0","0","0"
"46079","0","14531","0","0","0","0"
"46079","0","14541","0","0","0","0"
"46079","0","15806","0","0","0","0"
"46079","0","16677","0","0","0","0"
"46079","0","16679","0","0","0","0"
"46079","0","18759","0","0","0","0"
"46079","0","19170","0","0","0","0"
"46079","0","19890","0","0","0","0"
"46079","0","20504","0","0","0","0"
"46079","0","21268","0","0","0","0"
"46079","0","23075","0","0","0","0"
"46079","0","24044","0","0","0","0"
"46079","0","24094","0","0","0","0"
"46079","0","24361","0","0","0","0"
"46079","0","24461","0","0","0","0"
"46079","0","24464","0","0","0","0"
"46079","0","27412","0","0","0","0"
"46079","0","27426","0","0","0","0"
"46079","0","27427","0","0","0","0"
"46079","0","27476","0","0","0","0"
"46079","0","27512","0","0","0","0"
"46079","0","27524","0","0","0","0"
"46079","0","27673","0","0","0","0"
"46079","0","27767","0","0","0","0"
"46079","0","27791","0","0","0","0"
"46079","0","27829","0","0","0","0"
"46079","0","27842","0","0","0","0"
"46079","0","27868","0","0","0","0"
"46079","0","27877","0","0","0","0"
"46079","0","27903","0","0","0","0"
"46079","0","27905","0","0","0","0"
"46079","0","27986","0","0","0","0"
"46079","0","27987","0","0","0","0"
"46079","0","27994","0","0","0","0"
"46079","0","28184","0","0","0","0"
"46079","0","28188","0","0","0","0"
"46079","0","28207","0","0","0","0"
"46079","0","28226","0","0","0","0"
"46079","0","28257","0","0","0","0"
"46079","0","28263","0","0","0","0"
"46079","0","28325","0","0","0","0"
"46079","0","28345","0","0","0","0"
"46079","0","28367","0","0","0","0"
"46079","0","28393","0","0","0","0"
"46079","0","28400","0","0","0","0"
"46079","0","28524","0","0","0","0"
"46079","0","28572","0","0","0","0"
"46079","0","28573","0","0","0","0"
"46079","0","28581","0","0","0","0"
"46079","0","28587","0","0","0","0"
"46079","0","28606","0","0","0","0"
"46079","0","28611","0","0","0","0"
"46079","0","28631","0","0","0","0"
"46079","0","28633","0","0","0","0"
"46079","0","28658","0","0","0","0"
"46079","0","28729","0","0","0","0"
"46079","0","28749","0","0","0","0"
"46079","0","28754","0","0","0","0"
"46079","0","28767","0","0","0","0"
"46079","0","28770","0","0","0","0"
"46079","0","28772","0","0","0","0"
"46079","0","28773","0","0","0","0"
"46079","0","28774","0","0","0","0"
"46079","0","28782","0","0","0","0"
"46079","0","28800","0","0","0","0"
"46079","0","28802","0","0","0","0"
"46079","0","28825","0","0","0","0"
"46079","0","29316","0","0","0","0"
"46079","0","29348","0","0","0","0"
"46079","0","29353","0","0","0","0"
"46079","0","29355","0","0","0","0"
"46079","0","29359","0","0","0","0"
"46079","0","29362","0","0","0","0"
"46079","0","29458","0","0","0","0"
"46079","0","29962","0","0","0","0"
"46079","0","29981","0","0","0","0"
"46079","0","29988","0","0","0","0"
"46079","0","29993","0","0","0","0"
"46079","0","29996","0","0","0","0"
"46079","0","30082","0","0","0","0"
"46079","0","30089","0","0","0","0"
"46079","0","30090","0","0","0","0"
"46079","0","30095","0","0","0","0"
"46079","0","30902","0","0","0","0"
"46079","0","30908","0","0","0","0"
"46079","0","31304","0","0","0","0"
"46079","0","32235","0","0","0","0"
"46079","0","32273","0","0","0","0"
"46079","0","32329","0","0","0","0"
"46079","0","32344","0","0","0","0"
"46079","0","32375","0","0","0","0"
"46079","0","33206","0","0","0","0"
"46079","0","33214","0","0","0","0"
"46079","0","33215","0","0","0","0"
"46079","0","33283","0","0","0","0"
"46079","0","33286","0","0","0","0"
"46079","0","33299","0","0","0","0"
"46079","0","33326","0","0","0","0"
"46079","0","33327","0","0","0","0"
"46079","0","33328","0","0","0","0"
"46079","0","33332","0","0","0","0"
"46079","0","33354","0","0","0","0"
"46079","0","33356","0","0","0","0"
"46079","0","33388","0","0","0","0"
"46079","0","33446","0","0","0","0"
"46079","0","33464","0","0","0","0"
"46079","0","33465","0","0","0","0"
"46079","0","33468","0","0","0","0"
"46079","0","33474","0","0","0","0"
"46079","0","33476","0","0","0","0"
"46079","0","33478","0","0","0","0"
"46079","0","33640","0","0","0","0"
"46079","0","34164","0","0","0","0"
"46079","0","34165","0","0","0","0"
"46079","0","34167","0","0","0","0"
"46079","0","34168","0","0","0","0"
"46079","0","34169","0","0","0","0"
"46079","0","34170","0","0","0","0"
"46079","0","34176","0","0","0","0"
"46079","0","34179","0","0","0","0"
"46079","0","34180","0","0","0","0"
"46079","0","34181","0","0","0","0"
"46079","0","34182","0","0","0","0"
"46079","0","34183","0","0","0","0"
"46079","0","34185","0","0","0","0"
"46079","0","34186","0","0","0","0"
"46079","0","34188","0","0","0","0"
"46079","0","34192","0","0","0","0"
"46079","0","34193","0","0","0","0"
"46079","0","34194","0","0","0","0"
"46079","0","34195","0","0","0","0"
"46079","0","34196","0","0","0","0"
"46079","0","34198","0","0","0","0"
"46079","0","34199","0","0","0","0"
"46079","0","34202","0","0","0","0"
"46079","0","34203","0","0","0","0"
"46079","0","34206","0","0","0","0"
"46079","0","34208","0","0","0","0"
"46079","0","34209","0","0","0","0"
"46079","0","34210","0","0","0","0"
"46079","0","34212","0","0","0","0"
"46079","0","34214","0","0","0","0"
"46079","0","34215","0","0","0","0"
"46079","0","34228","0","0","0","0"
"46079","0","34229","0","0","0","0"
"46079","0","34231","0","0","0","0"
"46079","0","34232","0","0","0","0"
"46079","0","34233","0","0","0","0"
"46079","0","34234","0","0","0","0"
"46079","0","34240","0","0","0","0"
"46079","0","34243","0","0","0","0"
"46079","0","34244","0","0","0","0"
"46079","0","34245","0","0","0","0"
"46079","0","34247","0","0","0","0"
"46079","0","34329","0","0","0","0"
"46079","0","34332","0","0","0","0"
