"entry","slot","item","maxcount","incrtime","ExtendedCost","VerifiedBuild"
45019,0,7719,0,0,0,0
45019,0,11124,0,0,0,0
45019,0,9932,0,0,0,0
45019,0,51976,0,0,0,0
45019,0,1715,0,0,0,0
45019,0,9897,0,0,0,0
45019,0,9388,0,0,0,0
45019,0,9409,0,0,0,0
45019,0,13199,0,0,0,0
45019,0,7724,0,0,0,0
45019,0,10584,0,0,0,0
45019,0,9930,0,0,0,0
45019,0,10768,0,0,0,0
45019,0,9931,0,0,0,0
45019,0,10330,0,0,0,0
45019,0,9396,0,0,0,0
45019,0,7487,0,0,0,0
45019,0,13124,0,0,0,0
45019,0,1678,0,0,0,0
45019,0,15599,0,0,0,0
45019,0,9926,0,0,0,0
45019,0,4653,0,0,0,0
