"entry","slot","item","maxcount","incrtime","ExtendedCost","VerifiedBuild"
45022,0,4743,0,0,0,0
45022,0,23169,0,0,0,0
45022,0,7731,0,0,0,0
45022,0,10769,0,0,0,0
45022,0,44213,0,0,0,0
45022,0,44215,0,0,0,0
45022,0,6723,0,0,0,0
45022,0,10711,0,0,0,0
45022,0,19540,0,0,0,0
45022,0,19536,0,0,0,0
45022,0,21755,0,0,0,0
45022,0,1980,0,0,0,0
45022,0,51992,0,0,0,0
45022,0,20964,0,0,0,0
45022,0,9149,0,0,0,0
45022,0,21758,0,0,0,0
45022,0,21748,0,0,0,0
45022,0,21756,0,0,0,0
45022,0,1404,0,0,0,0
45022,0,19024,0,0,0,0
45022,0,10645,0,0,0,0
45022,0,10716,0,0,0,0
45022,0,10577,0,0,0,0
45022,0,10720,0,0,0,0
45022,0,17774,0,0,0,0
45022,0,5257,0,0,0,0
45022,0,13121,0,0,0,0
45022,0,4327,0,0,0,0
45022,0,10776,0,0,0,0
45022,0,9397,0,0,0,0
45022,0,7544,0,0,0,0
45022,0,7533,0,0,0,0
45022,0,7524,0,0,0,0
45022,0,10518,0,0,0,0
45022,0,11858,0,0,0,0
45022,0,19532,0,0,0,0
45022,0,19528,0,0,0,0
