"1";"ruRU";;" Привет, $n.";;;;;;;;;;;;;;
" 2";"ruRU";;" Привет, $N. Могу я чем-нибудь помочь?";;;;;;;;;;;;;;
" 3";"ruRU";" Приветствую, гражданин. Я прошу вас уйти, если вам не о чем просить меня.";;;;;;;;;;;;;;;
" 4";"ruRU";" Я живу только для того, чтобы служить нашему королю.";;;;;;;;;;;;;;;
" 5";"ruRU";" Проходи, гражданин. Здесь не на что смотреть.";;;;;;;;;;;;;;;
" 6";"ruRU";" На страницах книги начинают складываться сотни различных схем и схем. Вы узнаете некоторые из диаграмм, в то время как другие остаются иностранными, но знакомыми.";" На страницах книги начинают складываться сотни различных схем и схем. Вы узнаете некоторые из диаграмм, в то время как другие остаются иностранными, но знакомыми.";;;;;;;;;;;;;;
" 7";"ruRU";" Ассортимент изображений, форм и маркировок собирается вместе на ваших глазах. Книга, кажется, знает о ваших навыках в кожевенном деле и предлагает вам выбор — но будьте осторожны — вы можете выбрать только один, и как только вы это сделаете, не можете передумать!:";" Ассортимент изображений, форм и маркировок собирается вместе на ваших глазах. Книга, кажется, знает о ваших навыках в кожевенном деле и предлагает вам выбор — но будьте осторожны — вы можете выбрать только один, и как только вы это сделаете, не можете передумать!:";;;;;;;;;;;;;;
"18";"ruRU";"Оставайся рядом со мной, $N. Мы можем нуждаться друг в друге.";;;;;;;;;;;;;;;
"24";"ruRU";"Ах, $N! Маленькая птичка сказала мне, что ты придешь.$B$BТак Авиана рассылает сообщения.";;;;;;;;;;;;;;;
"34";"ruRU";"Какая профессия?";"Какая профессия?";;;;;;;;;;;;;;
"42";"ruRU";"Смертокрыл вернулся. Он захватил Грим Батол и большую часть высокогорья, и я чувствую себя почти бессильным остановить его.";;;;;;;;;;;;;;;
"48";"ruRU";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";;;;;;;;;;
"68";"ruRU";"Привет, $n.";"Привет, $n.";;;;;;;;;;;;;;
"82";"ruRU";"Служите Драконьей Пасти, и вы будете щедро вознаграждены, $c.";;;;;;;;;;;;;;;
"107";"ruRU";;"Ага? Вадья";;;;;;;;;;;;;;
"134";"ruRU";"Ты нужен военной машине Орды!";;;;;;;;;;;;;;;
"141";"ruRU";;"Я новичок в бремени лидерства. Я должен был предвидеть неподчинение Наркралла. Вместо этого я убираю его беспорядок. $B$BI не знает, как это делает Гаррош Адский Крик. Он должен обладать огромной силой, чтобы сплотить такую разношерстную армию, как Орда... Я хотел бы узнать его поближе.";;;;;;;;;;;;;;
"153";"ruRU";"Эй, $g чемпион : леди;. Что трясет?";;;;;;;;;;;;;;;
"158";"ruRU";;"Добро пожаловать, $c.$B$BХайджал горит, и мир, который я защищал всю свою жизнь, находится на грани забвения.$B$BСкажи мне: ты когда-нибудь слышал о Тайрусе Блэкхорне?";;;;;;;;;;;;;;
"166";"ruRU";"Мы пришли сюда на войну.$B$BОни дали ее нам.";;;;;;;;;;;;;;;
"185";"ruRU";"Вы можете отдохнуть здесь, если хотите. Храм Земли теперь под нашей опекой.";;;;;;;;;;;;;;;
"194";"ruRU";"Добро пожаловать в мою гостиницу, усталый путник. Что я могу сделать для вас?";"Добро пожаловать в мою гостиницу, усталый путник. Что я могу сделать для вас?";;;;;;;;;;;;;;
"197";"ruRU";"Эй, гражданин! Ты выглядишь как толстяк. Мы, охранники, немного рассредоточены здесь, и мне не помешала бы ваша помощь...";;;;;;;;;;;;;;;
"215";"ruRU";;"Мы давно лелеем надежду искупить Хранителя Земли и его детей. В какой-то момент мы должны иметь мудрость, чтобы понять, что никакое искупление не может искупить разрушения, которые эти драконы обрушивают на мир. $B$BA В какой-то момент мы вынуждены вмешаться.";;;;;;;;;;;;;;
