2;"Самое впечатляющее, $N... достать коготь Острокогота было нелегко! Охота в Ясеневом лесу идет вам на пользу!$B$BОстрый Коготь долгое время терроризировал батраков из лесозаготовительных лагерей у его пути, когда они пытались попасть сюда, на Заставу Расщепленного Дерева. Несомненно, как только станет известно, что это вы усмирили зверя, многие воодушевляющие песни о вашей храбрости будут звучать у костров и на лесопилках по всему Ясеневому лесу!"
5;"Тебе нужны крабовые пирожные, не так ли? Ну, может быть, я смогу приготовить что-нибудь для тебя..."
6;"Ха, ты поймал его! Вы оказали Элвинн большую услугу и заработали хорошую награду!"
7;"Молодец, гражданин. Эти кобольды воры и трусы, но в большом количестве они представляют для нас угрозу. И людям Штормграда не нужна еще одна угроза.$B$BЗа победу над ними приношу вам мою благодарность."
8;"Ой? Письмо? Прекрасные новости! Я ждал вестей от моей дорогой старой матушки из Похоронного звона. Какая она святая. Интересно, как она держится. $B$BЧто? Слишком радостно? Не купишься на это, да? Продолжать! Заблудись!$B$BВозвращайся, когда у тебя будет немного монет, чтобы их потратить... бездельник.$B$BСледующее, что ты знаешь, ты вернешься, чтобы отдохнуть после долгого дня приключений или чего-то в этом роде."
9;"Хорошая работа, друг. Вы хорошо заработали свою зарплату. Кто знает, может быть, Западный Край снова будет процветать."
10;"Он был хорошим гоблином, юный Скримшенк. Будем надеяться, что его кончина не была напрасной, судя по тому, что он смог зафиксировать с помощью своего геодезического оборудования. Они слишком хитры для своего же блага, и исследования, которые мы провели до сих пор, показывают, что они могут даже находиться под контролирующим влиянием третьей стороны! Если это так, то это плохо не только для Прибамбасска, но и для всей пустыни!"
11;"Я вижу, ты был занят! Примите нашу благодарность, $N."
12;"Молодец, $N. Мой разведчик был свидетелем ваших доблестных действий. Вы пока неплохо себя показываете."
13;"Ваша ценность для Народной милиции подтверждена вашими смелыми поступками."
14;"Когда я покинул испорченные земли Лордерона, я вернулся к мрачному положению дел здесь, на моей родине. Но надежда на Западный край еще есть. Судя по твоей доблести в бою, для меня очевидно, что ты с честью служишь нашему делу. Я с большой гордостью зачисляю тебя в народное ополчение. Да воссияет над тобой Свет."
15;"Мне не нравится слышать обо всех этих кобольдах в нашей шахте. Ничего хорошего из этого не выйдет. Вот, возьми это в качестве оплаты, и когда будешь готов, поговори со мной снова. Я бы хотел, чтобы ты вернулся в шахты еще раз..."
16;"Спасибо, $N! И возвращайтесь, если захотите снова торговать."
17;"Молодец, $N, ты снова доказал свою ценность! Крышки будут интересным исследованием, воистину!$B$BА теперь, как и было обещано, насладитесь вкусом одного из моих самых мощных восстанавливающих напитков из моих личных запасов...$B$BЕсли вы искусный алхимик, то, возможно, у нас могут быть дополнительные дела. В любом случае, я благодарю вас за вашу помощь!"
18;"Я вижу, вернулся с банданами. Армия Штормграда ценит вашу помощь."
19;"Тарил'зун был злобным и хитрым орком. Молодец - я уверен, что он не упал легко. Вот твоя награда, $N."
20;"Это избавляет от беспокойства по поводу меньшего количества орков, спасибо."
21;"Вы снова заслужили мое уважение и благодарность армии Штормграда. В шахте еще могут быть кобольды, но я направлю против них других. У нас есть для вас дополнительные задания."
22;"Они просто идеальны, $N! Большое спасибо. Сегодня мы с фермером Салдином собираемся пировать. А вот вам кое-что, за труды. Ты же не думал, что я позволю такому $c, как ты, голодать, не так ли?"
23;"Ах, лапа Урсангуса! Ваше мастерство впечатляет, $c; ему приписывают многочисленные убийства. Полумесяц на его лапе, без сомнения, является признаком того, что его обучали ночные эльфы, которые прячутся в Ясеневом лесу. Урсангус... был одним из самых могучих медведей, которых можно найти в этих краях. Победить такое существо - свидетельство вашей воли и решимости.$b$bВаши предки были бы горды!"
24;"Победа $N в Охоте на Ясеневый лес! Молодец - голова Шадумбры, без сомнения, достойный трофей для такой впечатляющей битвы. $b$b Жестокость Шадумбры была хорошо известна на протяжении всего поста. Любая поездка на запад, особенно пешая попытка добраться до Зорамского Берега, была сопряжена с опасностью из-за этого тигра. Благодаря вам эта опасность уменьшилась."
25;"Да, я слышал, что кто-то пронесся по озеру, как пыльный вихрь по Степям. Судя по звуку, мы могли бы установить возможную зону наблюдения, чтобы следить за нашими друзьями из Альянса. Ну, если мы сможем держать это в тайне...$B$BПохоже, в конце концов, ты оказался весьма полезным; транспорту между этим и Каменным Когтем должно быть легче. Возьми это - ты это заслужил."
26;" Приветствую вас, молодой $c; пришло время вам узнать нашу водную форму. Это тот, который позволяет вам свободно и бесконечно перемещаться по воде. Вы найдете этот аспект полезным инструментом и благословением... но его нужно заслужить, прежде чем овладеть им. $B$BВы столкнетесь с двумя испытаниями, которые нужно преодолеть. Первый проверит вашу способность работать в воде под давлением. Второй проверит вашу решимость понять аспекты самой формы.$B$BБудьте готовы, так как время проверки уже настало."
27;" Приветствую вас, молодой $c; пришло время вам узнать нашу водную форму. Это тот, который позволяет вам свободно и бесконечно перемещаться по воде. Вы найдете этот аспект полезным инструментом и благословением... но его нужно заслужить, прежде чем овладеть им. $B$BВы столкнетесь с двумя испытаниями, которые нужно преодолеть. Первый проверит вашу способность работать в воде под давлением. Второй проверит вашу решимость понять аспекты самой формы.$B$BБудьте готовы, так как время проверки уже настало."
28;"Ну теперь. Похоже, еще один друид успешно прошел Испытание Озером! Отличная работа. мой юный друг - молодец. Я уже сказал $B$BA. меня зовут Таджарри. Это мой долг и привилегия служить надзирателем Лунной поляны. и конкретно этот храм. Хранитель Ремулос руководит Кругом Кенария в сохранении природы и баланса. и его святыня служит вечной данью таким. Используя безделушку здесь. это служит намеком на важность этого места в Круге."
29;"Ну теперь. Похоже, еще один друид успешно прошел Испытание Озером! Отличная работа. мой юный друг - молодец. $B$BA Как я уже сказал, меня зовут Таджарри. Это мой долг и привилегия служить надзирателем Лунной поляны и особенно этого святилища. Хранитель Ремулос руководит Кругом Кенария в сохранении природы и баланса, и его святилище служит вечной данью им. Использование безделушки здесь служит намеком на важность этого места в Круге."
30;"Вы завершили Испытание морского льва, $N - поздравляем.$B$BКаждая задача по получению кулона показывает, что и ловкость, и выносливость необходимы, чтобы действовать в гармонии с тем, что вы хотите делать под водой. Ни одно из них не может существовать без другого, и оба не могут быть выполнены без вашей готовности принять облик морского льва."
31;"Очень впечатляет, $N. Твои предки были бы довольны твоими успехами! Вы готовы изучить свою водную форму, и я с удовольствием научу вас этому.$B$BКроме того, в знак признания ваших достижений во время двух испытаний, я даю вам этот предмет. Я надеюсь, что вы найдете его желанным дополнением к своему снаряжению в качестве защитника природы и хранителя баланса."
32;"Этот отчет... Я уже имел дело с этими тварями. Физзледаузер поступил мудро, отправив это. а ты мне.$b$bЭти твари быстро поглотят пустыню Танарис; они не что иное, как одна из величайших угроз, с которыми мы все когда-либо столкнемся. Ознакомьтесь с этим именем, $N: силитид. Упомянутые здесь насекомые — силитиды, и они являются орудиями одной из величайших угроз, с которыми сталкиваются как Орда, так и Альянс. $b$b Если бы только мы были достаточно умны, чтобы увидеть это раньше."
33;"Это была мрачная задача, друг, но ты выполнил свою часть сделки. У меня есть кое-что, что вам может понадобиться - выбирайте!"
34;"Наконец-то угроза устранена! Спасибо, $N, вы оказали мне большую услугу. В этом сезоне сад будет в полном цвету!"
35;"Да, мурлоки поселились в ручьях восточного Элвинна и вокруг них. Мы не знаем, почему они здесь, но они агрессивны и, по крайней мере, полуразумны."
36;"Эта Верна всегда была такой милой девчонкой. Нам будет ее не хватать здесь, в Западном крае, но, между нами говоря, в глубине души она горожанка, и Штормград подойдет ей как нельзя лучше. Но довольно сплетен! Теперь мы можем приготовить похлебку Западного Края!"
37;"Хотя многое было снято с трупа, рядом разбросан медальон с выгравированными на нем словами: «Пехотинец Малакаи»."
38;"Эта бамия прекрасно загустит этот бульон! Теперь мы просто добавим мясо жилистого стервятника, несколько глаз мурлоков и восхитительные морды кровоклыков. И мы закончили! За всю вашу помощь, $N, я хочу, чтобы вы взяли сегодня первую порцию похлебки Западного Края!"
39;"Хм, эта новость тревожит. Наша оборона уже натянута, а потеря Рольфа и Малакая из-за этих мурлоков поставила нас в еще худшее положение.$B$BЕсли ситуация не улучшится, к концу недели в Златоземье начнется бой!"
40;"Да, я говорил с Реми. Я уважаю его как торговца, хотя все сообщения о мурлоках на востоке были в лучшем случае отрывочными. восток."
45;"На шее трупа вы находите металлический медальон с надписью «Лакей Рольф Хартфорд»."
46;"У тебя есть плавники? Большой! Маршал Дуган обеспокоен ситуацией с мурлоками в восточном Элвинне, и я хотел бы сказать ему, что ситуация становится под контролем.$b$bВаши действия помогли понять это."
47;"Спасибо за пыль, $N. Вот ваши деньги и... вот жетон от моих коллег. Вы можете найти это полезным... полезным."
48;"Иккинг! Хо Хо!"
49;"Иккинг! Хо-хо!"
50;"Иккинг! Хо-хо!"
51;"Иккинг! Хо-хо!"
52;"Большое спасибо за помощь, $N. Должно быть, что-то в лесу делает этих животных такими смелыми.$B$BЧто бы это ни было, я надеюсь, что оно там и останется."
53;"Выдержка в бочке, фильтрация через уголь$BОн проходит через твои губы и проникает прямо в твою душу.$BТак давайте сейчас выпьем, тост за вас$BИ я, пока мы это делаем, Grimbooze Thunderbrew!"
54;"Здесь сказано, что вы получили статус исполняющего обязанности заместителя маршала Штормграда. Поздравляю.$b$bИ удачи - охранять Элвинн - это не пикник... тем более что большая часть армии занята тем, кто знает, для чего, кто знает, для какого дворянина!$b$bТяжело следить за политикой в эти темные дни.. ."
55;"Морбент Скверна побежден. Темные всадники все еще на свободе, но небольшая часть того, на что я безнадежно надеялся, свершилась.$b$bВы сделали невозможное, и ваши деяния навсегда останутся в легендах Сумеречного леса.$b$bGo , $ Н. И, возможно, однажды судьба вернет тебя ко мне..."
56;"Великолепно, $N. За службу народу Темнолесья ты будешь вознагражден."
57;"Народ Темнолесья благодарит вас, $N. Вы зарекомендовали себя как отличный союзник Ночного Дозора."
58;"От имени народа Темнолесья и как Лидер Ночного Дозора я благодарю вас, $N, за вашу храбрость и самоотверженность. Да воссияет Свет на твоих путях."
59;"О, спасибо за маркер. Пожалуйста, не стесняйтесь выбирать доспехи на свой вкус. $b$bУдачи вам, храбрый $c. И пусть эта броня сослужит вам хорошую службу."
60;"Вы были заняты охотой на кобольдов, не так ли? Спасибо за свечи, $N, и вот твоя награда..."
61;"Вот твоя плата... и пока ты здесь, оглянись вокруг! Я уверен, что у нас есть зелье или другая безделушка, которая может тебе пригодиться."
62;"Это плохие новости. Что дальше, драконы?!? Нам придется усилить патрулирование возле этой шахты. Спасибо за ваши усилия, $N. И подождите минутку... У меня может быть для вас другое задание."
63;"Вы кладете наручи на жаровню, а затем выливаете оставшиеся капли зелья Рассола в пламя. Капли потрескивают, попадая в пламя, и ты начинаешь произносить простые слова, которым тебя научила Айлен..."
64;"Мои часы! Большое спасибо, добрый господин! $b$bМы всего лишь бедные фермеры, и мы потеряли свою землю, но, пожалуйста, примите эту награду в знак нашей признательности."
65;"Так тебя прислал Стаутмантл? Ну, я ему должен."
66;"Ах, так вас прислала мадам Ева..."
67;"Старый сундучок со скрипом открывается. . . ."
68;"Интересно. Так что парень все-таки провел некоторое время в Мунбруке. Довольно странно, что письмо так и не было доставлено. Тем не менее, я обновлю реестр."
69;"Сталван? Конечно звучит знакомо."
70;"У тебя есть наглость принести это сюда."
71;"Вы подтвердили мои опасения, $N. Мурлоки — это угроза, которую мы не можем игнорировать."
72;"Ты медленно сдергиваешь крышку ящика. . . ."
74;"Я едва могу разобрать эти буквы. Но этот стиль письма напоминает мне кое-что, что я когда-то видел до того, как мое зрение стало таким плохим."
75;"Ты нашел это!"
76;"Говоришь, кобольды на Яшмовой шахте? Проклятия! Ситуация ухудшается с каждой минутой!$B$BСпасибо за отчет, $N. Но я хочу, чтобы новости, которые вы принесли, были хорошими."
77;" Отлично исполнено, $N. Я рад, что у тебя хватило предусмотрительности не повредить деликатность ряби. Нет ничего хуже букета ряби, который бесполезно толкают.$b$bПотребуется время, чтобы волшебство воздействовало на этот драгоценный груз. На самом деле никакой магии здесь нет; У меня просто есть пустая упаковка для Медовой ряби Внутренних земель. Наши хитрости превратят эти бутылки в алкогольное сокровище на века. $b$bВперёд - за отличной выпивкой!"
