"entry","content_default","content_loc8"
"1","You should select a character or a creature.","Вы должны выбрать персонажа или существо."
"2","You should select a creature.","Вы должны выбрать существо."
"3","[SERVER] %s","[SERVER] %s "
"4","|cffff0000[Event Message]: %s|r",
"5","There is no help for that command","Для этой команды нет помощи"
"6","Command '%.*s' does not exist","Команда '%.*s' не существует"
"7","Subcommand '%.*s%c%.*s' is ambiguous:","Подкоманда '%.*s%c%.*s' неоднозначна:"
"8","Possible subcommands:","Возможные подкоманды:"
"9","Commands available to you:","Доступные вам команды:"
"10","Incorrect syntax.","Неправильный синтаксис."
"11","Your account level is: %i","Ваш уровень аккаунта: %i"
"12","Active connections: %u (max: %u) Queued connections: %u (max: %u)",
"13","Server uptime: %s","Время работы сервера: %s"
"14","Player saved.","Игрок сохранен."
"15","All players saved.","Все игроки сохранены."
"16","The following GMs are active on this server:","На этом сервере активны следующие GM:"
"17","There are no GMs currently logged in on this server.","В настоящее время на этом сервере нет зарегистрированных GM."
"18","Cannot do that while flying.","Во время полета этого сделать нельзя."
"19","Update time diff: %u.",
"20","Time left until shutdown/restart: %s","Оставшееся время перед Выключением/Перезагрузкой: %s"
"21","%s's flying command failed.","%s’s команда полета не удалась."
"22","You are not mounted so you can't dismount.","Вы не сидите верхом, поэтому вы не можете спешиться."
"23","Cannot do that while fighting.","Не могу этого сделать во время боя."
"24","You used it recently.","Вы использовали это недавно."
"25","Password not changed (unknown error)!","Пароль не изменен (неизвестная ошибка)!"
"26","The password was changed","Пароль был изменен"
"27","The old password is wrong","Старый пароль неверен"
"28","Your account is now locked.","Ваша учетная запись заблокирована."
"29","Your account is now unlocked.","Ваша учетная запись теперь разблокирована."
"30",", rank ","Рейтинг"
"31"," [known]","[известно]"
"32"," [learn]","[изучить]"
"33"," [passive]","[пассивно]"
"34"," [talent]","[таланты]"
"35"," [active]","[активный]"
"36"," [complete]","[завершено]"
"37"," (offline)","[не в игре]"
"38","on","Включено"
"39","off","Выключено"
"40","You are: %s","Вы: %s"
"41","visible","видимый"
"42","invisible","невидимый"
"43","done","завершено"
"44","You","Вы"
"45"," <unknown> ","<неизвестно>"
"46","<error>","<ошибка>"
"47","<non-existing character>","<не существующий персонаж>"
"48","(online)","(в игре)"
"49","You must be at least level %u to enter."," У Вас должен быть уровень %u что-бы войти"
"50","You must be at least level %u and have item %s to enter."," У Вас должен быть уровень %u и Вы должны иметь предмет %s что-бы войти"
"51","Hello! Ready for some training?","Привет! Готовы к обучению?"
"52","Invalid item count (%u) for item %u","Неверное количество (%u) предметов %u"
"53","Mail can't have more %u item stacks",
"54","The new passwords do not match","Новые пароли не совпадают"
