"entry","content_default","content_loc8"
"1","You should select a character or a creature.","NULL"
"2","You should select a creature.","NULL"
"3","[SERVER] %s","[Сервер] %s"
"4","|cffff0000[Event Message]: %s|r","NULL"
"5","There is no help for that command","NULL"
"6","Command '%.*s' does not exist","NULL"
"7","Subcommand '%.*s%c%.*s' is ambiguous:","NULL"
"8","Possible subcommands:","Возможные подкоманды: "
"9","Commands available to you:","Команды доступные для вас: "
"10","Incorrect syntax.","Заданы неверные параметры."
"11","Your account level is: %i","Ваш аккаунт уровень: %i"
"12","Active connections: %u (max: %u) Queued connections: %u (max: %u)","NULL"
"13","Server uptime: %s","Время работы сервера: %s"
"14","Player saved.","Игрок сохранен."
"15","All players saved.","Все игроки сохранены."
"16","The following GMs are active on this server:","На этом сервере активны следующие GM:"
"17","There are no GMs currently logged in on this server.","В настоящее время на этом сервере нет зарегистрированных GM."
"18","Cannot do that while flying.","Во время полета этого сделать нельзя."
"19","Update time diff: %u.",
"20","Time left until shutdown/restart: %s","Оставшееся время перед Выключением/Перезагрузкой: %s"
"21","%s's flying command failed.","%s’s команда полета не удалась."
"22","You are not mounted so you can't dismount.","Вы не сидите верхом, поэтому вы не можете спешиться."
"23","Cannot do that while fighting.","Не могу этого сделать во время боя."
"24","You used it recently.","Вы использовали это недавно."
"25","Password not changed (unknown error)!","Пароль не изменен (неизвестная ошибка)!"
"26","The password was changed","Пароль был изменен"
"27","The old password is wrong","Старый пароль неверен"
"28","Your account is now locked.","Ваша учетная запись заблокирована."
"29","Your account is now unlocked.","Ваша учетная запись теперь разблокирована."
"30",", rank ","Рейтинг"
"31"," [known]","[известно]"
"32"," [learn]","[изучить]"
"33"," [passive]","[пассивно]"
"34"," [talent]","[таланты]"
"35"," [active]","[активный]"
"36"," [complete]","[завершено]"
"37"," (offline)","[не в игре]"
"38","on","Включено"
"39","off","Выключено"
"40","You are: %s","Вы: %s"
"41","visible","видимый"
"42","invisible","невидимый"
"43","done","завершено"
"44","You","Вы"
"45"," <unknown> ","<неизвестно>"
"46","<error>","<ошибка>"
"47","<non-existing character>","<не существующий персонаж>"
"48","(online)","(в игре)"
"49","You must be at least level %u to enter."," У Вас должен быть уровень %u что-бы войти"
"50","You must be at least level %u and have item %s to enter.","NULL"
"51","Hello! Ready for some training?","Привет! Хотите чему-то обучиться?"
"52","Invalid item count (%u) for item %u","NULL"
"53","Mail can't have more %u item stacks","NULL"
"54","The new passwords do not match","NULL"
"55","Your password can't be longer than 16 characters (client limit), password not changed!","NULL"
"56","Current Message of the day: 
%s","NULL"
"57","Using World DB: %s","NULL"
"58","Using script library: %s","NULL"
"59","Using creature EventAI: %s","NULL"
"60","Online players: %u (max: %u)","NULL"
"61","Up to %u expansions are allowed now.","NULL"
"62","One or more parameters contain incorrect values.","NULL"
"63","Wrong parameter, id: %u does not exist.","NULL"
"64","Wrong parameter realmId: %d","NULL"
"65","Account %u (%s) granted permissions:","NULL"
"66","Account %u (%s) denied permissions:","NULL"
"67","Account %u (%s) inherited permissions by sec level %u:","NULL"
"68","Permissions:","NULL"
"69","Linked permissions:","NULL"
"70","Empty List","NULL"
"71","- %u (%s)","NULL"
"72","Couldn't grant permission %u (%s) realmId %d. Account %u (%s) already has that permission","NULL"
"73","Couldn't grant permission %u (%s) realmId %d. Account %u (%s) has that permission in deny list","NULL"
"74","Granted permission %u (%s) realmId %d to account %u (%s)","NULL"
"75","Couldn't deny permission %u (%s) realmId %d. Account %u (%s) already has that permission","NULL"
"76","Couldn't deny permission %u (%s) realmId %d. Account %u (%s) has that permission in deny list","NULL"
"77","Denied permission %u (%s) realmId %d to account %u (%s)","NULL"
"78","Revoked permission %u (%s) realmId %d to account %u (%s)","NULL"
"79","Couldn't revoke permission %u (%s) realmId %d. Account %u (%s) does not have that permission","NULL"
"80","BattleGround victories in the last 7 days
Alliance: %d
Horde: %d","NULL"
"81","BattleGround scores storing is disabled!","NULL"
"82","Nearest graveyard found: %u (%.3f %.3f %.3f)","NULL"
"83","There are no graveyards near","NULL"
"84","Size: %f","NULL"
"85","Faction: %u Flags: %u","NULL"
"86","Model dimensions from center: Max X %f Y %f Z %f Min X %f Y %f Z %f","NULL"
"88","Two-factor authentication commands are not properly setup.","NULL"
"89","Two-factor authentication is already enabled for this account.","NULL"
"90","Invalid two-factor authentication token specified.","NULL"
"91","In order to complete setup, you'll need to set up the device you'll be using as your second factor.

Your 2FA key: %s

Once you have set up your device, confirm by running .account 2fa setup <token> with the generated token.","NULL"
"92","Two-factor authentication has been successfully set up.","NULL"
"93","Two-factor authentication is not enabled for this account.","NULL"
"94","To remove two-factor authentication, please specify a fresh two-factor token from your authentication device.","NULL"
"95","Two-factor authentication has been successfully disabled.","NULL"
"96","The guild name '%s' is already taken","NULL"
"97","Changed guild name '%s' to '%s'","NULL"
"98","'%s' already exists as character name, choose another one","NULL"
"99","Player '%s' forced rename to '%s'","NULL"
"100","Global notify: ","Общее уведомление: "
"101","Map: %u (%s) Zone: %u (%s) Area: %u (%s) Phase: %u
X: %f Y: %f Z: %f Orientation: %f","NULL"
"102","%s is already being teleported.","NULL"
"103","You can only summon a player to your instance if that player, or their group leader, is in your instance.","NULL"
"104","You cannot go to the player's instance because you are in a party now.","NULL"
"105","You can only teleport to a player's instance if you are in their group, or you have GM mode enabled.","NULL"
"106","You can not go to player %s from instance to instance.","NULL"
"107","You can not summon player %s from instance to instance.","NULL"
"108","You are summoning %s%s.","NULL"
"109","You are being summoned by %s.","NULL"
"110","You are teleporting %s%s to %s.","NULL"
"111","You are being teleported by %s.","NULL"
"112","Player (%s) does not exist.","NULL"
"113","Appearing at %s's location.","NULL"
"114","%s is appearing at your location.","NULL"
"115","Incorrect values.","NULL"
"116","No character selected.","NULL"
"117","%s is not in a group.","NULL"
"118","You changed HP of %s to %i/%i.","NULL"
"119","%s changed your HP to %i/%i.","NULL"
"120","You changed MANA of %s to %i/%i.","NULL"
"121","%s changed your MANA to %i/%i.","NULL"
"122","You changed ENERGY of %s to %i/%i.","NULL"
"123","%s changed your ENERGY to %i/%i.","NULL"
"124","Current energy: %u","NULL"
"125","You changed rage of %s to %i/%i.","NULL"
"126","%s changed your rage to %i/%i.","NULL"
"127","You changed level of %s to %i.","NULL"
"128","GUID %i, faction is %i, flags is %i, npcflag is %i, dynflag is %i.","NULL"
"129","Wrong faction: %u (not found in factiontemplate.dbc).","NULL"
"130","You changed GUID=%i's Faction to %i, flags to %i, npcflag to %i, dynflag to %i.","NULL"
"131","You changed the spellflatid=%i, val= %i, mark =%i to %s.","NULL"
"132","%s changed your spellflatid=%i, val= %i, mark =%i.","NULL"
"133","%s has access to all taxi nodes now (until logout).","NULL"
"134","%s has no more access to all taxi nodes now (only visited accessible).","NULL"
"135","%s has given you access to all taxi nodes (until logout).","NULL"
"136","%s has removed access to all taxi nodes (only visited still accessible).","NULL"
"137","You set all speeds of %s from normal to %2.2f.","NULL"
"138","%s set all your speeds from normal to %2.2f.","NULL"
"139","You set the speed of %s from normal to %2.2f.","NULL"
"140","%s set your speed from normal to %2.2f.","NULL"
"141","You set the swim speed of %s from normal to %2.2f.","NULL"
"142","%s set your swim speed from normal to %2.2f.","NULL"
"143","You set the backwards run speed of %s from normal to %2.2f.","NULL"
"144","%s set your backwards run speed from normal to %2.2f.","NULL"
"145","You set the fly speed of %s from normal to %2.2f.","NULL"
"146","%s set your fly speed from normal to %2.2f.","NULL"
"147","You set the size of %s to %2.2f.","NULL"
"148","%s set your size to %2.2f.","NULL"
"149","There is no such mount.","NULL"
"150","You give a mount to %s.","NULL"
"151","%s gave you a mount.","NULL"
"152","USER1: %i, ADD: %i, DIF: %i
","NULL"
"153","You take all the copper from %s.","NULL"
"154","%s took you all of your copper.","NULL"
"155","You take %i copper from %s.","NULL"
"156","%s took %i copper from you.","NULL"
"157","You give %i copper to %s.","NULL"
"158","%s gave you %i copper.","NULL"
"159","You play the sound %u.","NULL"
