1;"You should select a character or a creature.";"Вы должны выбрать персонажа или существо."
2;"You should select a creature.";"Вы должны выбрать существо."
3;"[SERVER] {}";"[СЕРВЕР] {}"
4;"|cffff0000[Event Message]: {}|r";"|cffff0000[Сообщение о событии]: {}|r"
5;"There is no help for that command";"Нет помощи для этой команды"
6;"Command '{}' does not exist";"Команда '{}' не существует"
7;"Subcommand '{}{}{}' is ambiguous:";"Подкоманда '{}{}{}' неоднозначна:"
8;"Possible subcommands:";"Возможные подкоманды:"
9;"Commands available to you:";"Доступные вам команды:"
10;"Incorrect syntax.";"Неправильный синтаксис."
11;"Your account level is: {}";"Уровень вашей учетной записи: {}"
12;"Active connections: {} (max: {}) Queued connections: {} (max: {})";"Активные соединения: {} (макс.: {}) Соединения в очереди: {} (макс.: {})"
13;"Server uptime: {}";"Время работы сервера: {}"
14;"Player saved.";"Игрок сохранен."
15;"All players saved.";"Все игроки сохранены."
16;"There are the following active GMs on this server:";"На этом сервере есть следующие активные ГМ:"
17;"There are no GMs currently logged in on this server.";"В настоящее время на этом сервере нет зарегистрированных GM."
18;"Cannot do that while flying.";"Во время полета этого сделать нельзя."
19;"Update time diff: {}.";"Разница во времени обновления: {}."
20;"Time left until shutdown/restart: {}";"Оставшееся время до выключения/перезапуска: {}"
21;"{} is flying command failed.";"{} — команда полета не удалась."
22;"You are not mounted so you can't dismount.";"Вы не в седле, поэтому не можете спешиться."
23;"Cannot do that while fighting.";"Во время боя этого делать нельзя."
24;"You used it recently.";"Вы использовали его недавно."
25;"Password not changed (unknown error)!";"Пароль не изменен (неизвестная ошибка)!"
26;"The password was changed";"Пароль был изменен"
27;"The old password is wrong";"Старый пароль неверный"
28;"Your account is now locked.";"Теперь ваша учетная запись заблокирована."
29;"Your account is now unlocked.";"Теперь ваша учетная запись разблокирована."
30;", rank";", классифицировать"
31;"[known]";"[известен]"
32;"[learn]";"[учиться]"
33;"[passive]";"[пассивный]"
34;"[talent]";"[талант]"
35;"[active]";"[активный]"
36;"[complete]";"[полный]"
37;"(offline)";"(не в сети)"
38;"on";"на"
39;"off";"выключенный"
40;"You are: {}";"Ты: {}"
41;"visible";"видимый"
42;"invisible";"невидимый"
43;"done";"Выполнено"
44;"You";"Ты"
45;"<unknown>";"<неизвестно>"
46;"<error>";"<ошибка>"
47;"<non-existing character>";"<несуществующий персонаж>"
48;"UNKNOWN";"НЕИЗВЕСТНЫЙ"
49;"You must be at least level {} to enter.";"Вы должны быть по крайней мере уровня {}, чтобы войти."
50;"You must be at least level {} and have item {} to enter.";"Вы должны быть не ниже уровня {} и иметь предмет {} для входа."
51;"Hello! Ready for some training?";"Привет! Готовы к тренировкам?"
